mutant_id,fault_class,fault_class_label,mutation,first_full_budget
A1,index-off-by-one,Index off-by-one,tpull size: drop +1,3
A2,index-off-by-one,Index off-by-one,indexOf rank: drop +1,3
A3,index-off-by-one,Index off-by-one,idAt: k-=ls (drop +1),3
A4,index-off-by-one,Index off-by-one,prefixHeight: need-=ls (drop +1),3
B1,boundary-comparator,Boundary comparator,findByOffset: <= -> <,3
B2,boundary-comparator,Boundary comparator,tsplit: k<=ls -> <,3
B3,boundary-comparator,Boundary comparator,prefixHeight: need<=ls -> <,3
B4,boundary-comparator,Boundary comparator,idAt: k<ls -> <=,3
C1,dropped-term,Dropped height term,tpull sumH: drop n.height,3
C2,dropped-term,Dropped height term,prefixHeight acc: drop n.height,3
C3,dropped-term,Dropped height term,findByOffset: drop n.height,3
C4,dropped-term,Dropped height term,setHeight repair: drop height,3
D1,exec-order-linkage,Execution order / linkage,"tmerge(a,b.left) -> (b.left,a)",10
D2,exec-order-linkage,Execution order / linkage,"tmerge(a.right,b) -> (b,a.right)",10
D3,exec-order-linkage,Execution order / linkage,insertAfter merge order swap,3
D4,exec-order-linkage,Execution order / linkage,tpull: right.parent = null,3
E1,split-rank-boundary,Split / merge rank,tsplit right: k-ls-1 -> k-ls,3
E2,split-rank-boundary,Split / merge rank,"remove: tsplit(rest,1) -> 0",3
E3,split-rank-boundary,Split / merge rank,findByOffset pos: drop +1,3
E4,split-rank-boundary,Split / merge rank,insertAfter split: at -> at-1,3
